description,domain,sub_domain
"Pathology in the Medical domain is a sub-field of medicine which encompasses a wide range of medical disciplines, including pathology, pathology, pathology, epidemiology, epidemiology, and biomedicine.",Medical,Pathology
Dermatology focuses on the diagnosis and treatment of diseases or disorders that affect the skin and cutaneous tissue.,Medical,Dermatology
Radiology is a branch of medicine.,Medical,Radiology
Cardiology is a medical discipline in which cardiovascular disease is the main cause of death.,Medical,Cardiology
Reproductive Medicine in the Medical Domain:,Medical,Reproductive Medicine
Hematology is the study of the immune system.,Medical,Hematology
Radiology is the study of the treatment and diagnosis of disease or abnormalities in a large number of different tissues.,Medical,Radiology
Pathology is the study of disease in a medical discipline. It is the science of examining and treating pathological diseases.,Medical,Pathology
Neurology is the study of brain function and cognition.,Medical,Neurology
"Radiology is the study of medical and forensic radiation in the field of medicine, including radiology, pathology, medicine, biotechnology, and dentistry.",Medical,Radiology
"Orthopedics is the discipline of treating anatomically and structurally displaced objects, particularly in relation to a patient.",Medical,Orthopedics
"Nephrology is an academic field of medicine, focusing on the diagnosis and treatment of chronic kidney disease. Its main focus is nephrology.",Medical,Nephrology
"Anesthesiology is a medical science focusing on the study and treatment of medical conditions, including heart disease and stroke.",Medical,Anesthesiology
Reproductive Medicine: Medical Sciences and their Applications.,Medical,Reproductive Medicine
Neurology in the Medical domain: Molecular biology and cellular biology.,Medical,Neurology
Nephrology is the medical field of kidney function.,Medical,Nephrology
"Orthopedics in the Medical domain is the field of medicine. It includes physiotherapy, surgery, and rehabilitation of various body parts.",Medical,Orthopedics
Internal Medicine is the treatment of internal diseases.,Medical,Internal Medicine
Infectious Diseases in the Medical domain.,Medical,Infectious Diseases
Nephrology is a medical field in which kidney function is determined by kidney function.,Medical,Nephrology
Anesthesiology is a field of medicine in which the study of anatomy and physiology is concerned. It is the field of medicine primarily focused on the diagnosis and treatment of underlying diseases.,Medical,Anesthesiology
"Pediatrics in the Medical domain - abbreviated PDIAPHASED PHYSICAL SPECIALS - is a medical discipline in the etiology, medicine, and pathology of infants and young children.",Medical,Pediatrics
It is a field of medicine in which cancer is defined as the growth of the tumour or epithelial cells that make up the skin.,Medical,Oncology
Dermatology is the study of the skin and hair.,Medical,Dermatology
"Anesthesiology is the study of the skeletal system, especially of the heart and spinal cord.",Medical,Anesthesiology
Emergency medicine is the study of health and the prevention and treatment of emergencies in the medical field.,Medical,Emergency Medicine
Reproductive Medicine is a medical discipline.,Medical,Reproductive Medicine
Emergency Medicine is the medical field of medicine.,Medical,Emergency Medicine
"The role of General Surgery is to diagnose and treat diseases, illnesses, or illnesses.",Medical,General Surgery
"Hematology is a science in which the study of human organs, especially those of cancer and diseases, is involved.",Medical,Hematology
Orthopedics is a field of medicine encompassing a wide range of treatment and management techniques.,Medical,Orthopedics
Anesthesiology is the study of the disease or condition that affects anesthetic function.,Medical,Anesthesiology
cned:cmnc.com,Medical,Emergency Medicine
Oncology is the medical field that deals with the diagnosis and treatment of cancers.,Medical,Oncology
Nephrology is the study of kidney failure or renal disease.,Medical,Nephrology
Cardiology is the study of the cardiovascular system.,Medical,Cardiology
Plastic surgery is a medical specialty in which the facet of plastic surgery (in surgery) is involved.,Medical,Plastic Surgery
Pediatrics is the field of medicine devoted to the study of the medical diagnosis and treatment of disease.,Medical,Pediatrics
"Reproductive medicine in the Medical domain is the research of reproduction medicine, whereby the study of reproduction occurs with the aid of laboratory techniques such as asexual fertilization.",Medical,Reproductive Medicine
Cardiology in the Medical domain is the study of cardiovascular disease and its treatment by cardiovascular health professionals.,Medical,Cardiology
General surgery is a medical field that involves examining and treating human bodies and organs. It is the most commonly cited treatment for the management of diseases and disorders of the body.,Medical,General Surgery
"Orthopedics is the discipline of physical medicine, as defined by the American Medical Association (AMA).",Medical,Orthopedics
Radiology is the study of radiological phenomena.,Medical,Radiology
Plastic Surgery is the medical treatment of the disease that results in the removal of body parts from the body.,Medical,Plastic Surgery
